city_id,city_name_en,manager_mis_ids,Sequence with More 3,Sequence with More 3 %,Sequence with More 9,Couriers cheating,Couriers with active driver card,Couriers with driver card Expired,Couriers with active driver card%,Total triggers,Passed Rate,Failed Rate,Skipped Rate,Sponor Rate
1150000088,Najran,khalidahmad02,0,0.00%,0,0,1,0,0.95%,287,82.23%,0.00%,17.77%,99.05%
1150000093,Madinah,mohammadtalha02,4,1.06%,0,7,105,0,16.61%,"1,567",77.15%,0.19%,22.65%,99.53%
1150000093,Madinah,muhannadatallah,16,3.31%,0,6,24,0,2.66%,"2,064",82.99%,0.58%,16.42%,98.12%
1150000095,Yanbu,khubaibsagheer,0,0.00%,0,2,45,0,19.82%,497,88.33%,0.00%,11.67%,100.00%
1150000102,Al Taif,adnansiddique,0,0.00%,0,16,48,0,10.60%,"1,062",88.51%,0.28%,11.21%,100.00%
1150000104,Makkah,abdallaahmed02,1,0.25%,0,2,164,0,25.43%,"1,485",90.17%,0.07%,9.76%,100.00%
1150000104,Makkah,mostafasoliman,0,0.00%,0,2,130,0,19.37%,"1,667",81.82%,0.42%,17.76%,100.00%
1150000106,Jeddah,abdulaziz,5,1.36%,0,30,46,1,6.64%,773,78.40%,1.42%,20.18%,99.42%
1150000106,Jeddah,asadjaved,15,2.07%,0,3,358,0,32.11%,"1,170",75.47%,0.85%,23.68%,99.82%
1150000106,Jeddah,faisalalghamdi,25,4.39%,0,17,181,1,16.67%,"1,277",78.86%,0.70%,20.44%,100.00%
1150000106,Jeddah,hamzakhan,8,1.73%,0,3,75,0,11.40%,630,86.19%,0.95%,12.86%,98.63%
1150000106,Jeddah,mohammedabdulfateh,10,1.56%,1,25,80,0,13.65%,572,83.92%,1.75%,14.34%,99.66%
1150000106,Jeddah,saifradwan,8,1.77%,0,31,136,0,20.86%,835,75.09%,1.68%,23.23%,100.00%
1150000140,Jazan,khalidahmad02,0,0.00%,0,0,13,0,10.66%,284,88.03%,3.52%,8.45%,100.00%
1150000149,Abha,goharilyas,0,0.00%,0,0,8,0,3.17%,638,92.16%,0.00%,7.84%,100.00%
1150000149,Abha,mohammedshoeb,0,0,0,0,34,0,0.213836478,430,0.862790698,0,0.137209302,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
city_id,city_name_en,manager_mis_ids,Sequence with More 3,Sequence with More 3 %,Sequence with More 9,Couriers cheating,Couriers with active driver card,Couriers with driver card Expired,Couriers with active driver card%,Total triggers,Passed Rate,Failed Rate,Skipped Rate,Sponor Rate
1150000088,Najran,khalidahmad02,0,0.00%,0,1,1,0,0.95%,281,87.54%,0.00%,12.46%,99.05%
1150000093,Madinah,mohammadtalha02,5,1.36%,0,6,113,0,17.91%,"1,640",80.06%,0.30%,19.63%,99.52%
1150000093,Madinah,muhannadatallah,16,3.95%,0,6,25,0,2.77%,"2,216",85.97%,0.99%,13.04%,98.11%
1150000095,Yanbu,khubaibsagheer,0,0.00%,0,1,44,0,19.13%,537,92.18%,0.00%,7.82%,100.00%
1150000102,Al Taif,adnansiddique,0,0.00%,0,8,47,0,10.28%,"1,028",90.56%,0.49%,8.95%,100.00%
1150000104,Makkah,abdallaahmed02,1,0.26%,0,2,163,0,25.51%,"1,529",91.43%,0.07%,8.50%,100.00%
1150000104,Makkah,mostafasoliman,0,0.00%,0,1,135,0,20.58%,1748,82.09%,0.17%,17.73%,100.00%
1150000106,Jeddah,abdulaziz,5,1.40%,0,24,48,1,6.88%,"1,573",75.52%,1.08%,23.39%,99.43%
1150000106,Jeddah,asadjaved,6,0.94%,0,6,363,0,32.59%,"2,463",74.91%,0.69%,24.40%,99.82%
1150000106,Jeddah,faisalalghamdi,21,3.78%,0,21,190,1,17.37%,2482,79.01%,0.56%,20.43%,100.00%
1150000106,Jeddah,hamzakhan,6,1.52%,0,2,80,0,12.10%,1303,86.42%,0.38%,13.20%,98.64%
1150000106,Jeddah,mohammedabdulfateh,9,1.59%,1,23,80,0,13.82%,1138,84.62%,1.14%,14.24%,99.65%
1150000106,Jeddah,saifradwan,7,1.76%,0,27,135,0,20.55%,1398,77.75%,1.00%,21.24%,100.00%
1150000140,Jazan,khalidahmad02,0,0.00%,0,0,15,0,12.20%,285,89.82%,3.16%,7.02%,100.00%
1150000149,Abha,goharilyas,0,0.00%,0,0,8,0,3.19%,647,89.34%,0.00%,10.66%,100.00%
1150000149,Abha,mohammedshoeb,0,0,0,0,34,0,0.215189873,433,0.838337182,0,0.161662818,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
