city_id,city_name_en,manager_mis_ids,Sequence with More 3,Sequence with More 3 %,Sequence with More 9,Couriers cheating,Couriers with active driver card,Couriers with driver card Expired,Couriers with active driver card%,Total triggers,Passed Rate,Failed Rate,Skipped Rate,Sponor Rate
1150000088,Najran,khalidahmad02,0,0.00%,0,0,1,0,0.99%,301,77.41%,0.00%,22.59%,99.05%
1150000093,Madinah,mohammadtalha02,11,2.88%,0,7,99,0,15.71%,"1,406",78.95%,0.50%,20.55%,99.53%
1150000093,Madinah,muhannadatallah,26,5.30%,0,6,25,0,2.74%,"1,866",83.12%,0.38%,16.51%,98.12%
1150000095,Yanbu,khubaibsagheer,0,0.00%,0,1,45,0,19.74%,442,92.53%,0.00%,7.47%,100.00%
1150000104,Makkah,abdallaahmed02,0,0.00%,0,0,163,0,25.12%,"1,494",89.42%,0.07%,10.51%,100.00%
1150000104,Makkah,mostafasoliman,0,0.00%,0,2,125,0,18.38%,"1,761",78.82%,0.62%,20.56%,100.00%
1150000106,Jeddah,abdulaziz,8,2.17%,0,26,48,1,6.89%,"1,676",73.51%,1.61%,24.88%,99.42%
1150000106,Jeddah,asadjaved,17,2.35%,0,2,352,0,31.23%,"2,916",69.48%,1.03%,29.49%,99.82%
1150000106,Jeddah,faisalalghamdi,34,6.01%,0,17,177,1,15.97%,"2,789",71.85%,1.18%,26.96%,100.00%
1150000106,Jeddah,hamzakhan,9,1.95%,0,5,70,0,10.54%,"1,467",84.66%,1.09%,14.25%,98.63%
1150000106,Jeddah,mohammedabdulfateh,11,1.71%,1,26,83,0,14.12%,"1,273",81.15%,1.02%,17.83%,99.66%
1150000106,Jeddah,saifradwan,11,2.42%,0,34,134,0,20.18%,"1,539",73.49%,0.97%,25.54%,100.00%
1150000140,Jazan,khalidahmad02,0,0.00%,0,0,11,0,9.09%,279,90.68%,3.94%,5.38%,100.00%
1150000149,Abha,goharilyas,0,0.00%,0,0,8,0,3.01%,698,86.82%,0.00%,13.18%,100.00%
1150000149,Abha,mohammedshoeb,0,0.00%,0,0,30,0,18.87%,467,80.51%,0.00%,19.49%,100.00%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
